TeamAbbreviation,ACS,ADR,HS_Percent,FirstKills,FirstDeaths,Games Played,Team_TotalRounds,Team_RoundsFirstHalf,Team_RoundsSecondtHalf,Team_RoundsOT,Team_PistolWon,WinRate,Team_Eco_Conv,Team_SemiEco_Conv,Team_SemiBuy_Conv,Team_FullBuy_Conv
100T,210.51918465227817,136.75138121546962,0.2300828729281768,2.1115107913669067,2.022099447513812,168,11.312056737588652,6.609929078014185,4.48936170212766,0.2127659574468085,1.0638297872340425,65.24822695035462,39.40149625935162,20.0,58.36431226765799,60.95774647887324
ABX,214.37423312883436,137.64662576687115,0.264920245398773,2.193865030674847,1.9042944785276075,164,11.50920245398773,6.9815950920245395,4.325153374233129,0.20245398773006135,1.1104294478527608,63.80368098159509,41.101694915254235,20.276497695852534,60.35889070146819,62.217860647693826
AE,203.37203495630462,130.2537688442211,0.2520100502512563,2.128589263420724,2.0665829145728645,166,11.654867256637168,6.6371681415929205,4.814159292035399,0.20353982300884957,1.168141592920354,64.60176991150442,45.5108359133127,22.413793103448278,56.53206650831355,60.583446404341935
BBG,210.98494623655915,134.41363636363636,0.19799999999999998,2.08494623655914,2.0385964912280703,186,11.366863905325443,6.508875739644971,4.745562130177515,0.11242603550295859,1.1301775147928994,62.721893491124256,44.175824175824175,22.222222222222225,57.41239892183289,60.29126213592233
BME,208.74693877551022,133.44931506849315,0.2284755244755245,2.236734693877551,1.946853146853147,147,11.41958041958042,6.461538461538462,4.741258741258742,0.21678321678321677,1.118881118881119,63.63636363636363,43.00254452926209,27.56756756756757,54.40956651718983,60.287356321839084
C9,211.3111954459203,136.3109619686801,0.2202460850111857,2.1688804554079697,1.9149888143176734,215,11.928143712574851,7.155688622754491,4.604790419161676,0.16766467065868262,1.1377245508982037,69.46107784431138,43.8034188034188,23.78640776699029,63.25648414985591,62.63259402121504
COL,213.59390862944161,139.00645161290322,0.23496703296703295,2.16751269035533,1.8450549450549452,197,11.482954545454545,7.142045454545454,4.181818181818182,0.1590909090909091,1.0397727272727273,67.04545454545455,38.1139489194499,17.5609756097561,59.523809523809526,63.86206896551724
EG,208.54373177842567,137.38483965014578,0.26819241982507286,2.119533527696793,2.013119533527697,140,10.485714285714286,6.214285714285714,4.15,0.12142857142857143,1.042857142857143,55.714285714285715,38.01452784503632,17.372881355932204,51.724137931034484,58.94673847995213
FF,205.6,134.55555555555554,0.25082539682539684,2.103875968992248,2.0444444444444443,129,11.409090909090908,6.424242424242424,4.712121212121212,0.2727272727272727,1.0454545454545454,60.60606060606061,41.7989417989418,16.3265306122449,52.29681978798586,60.498220640569386
FaZe,211.50434782608696,135.30612244897958,0.23356462585034013,2.1838509316770187,1.8680272108843536,161,11.197080291970803,6.773722627737226,4.262773722627737,0.16058394160583941,1.0364963503649636,60.58394160583942,38.19095477386935,20.212765957446805,60.86956521739131,61.131611316113165
G2,216.51883745963403,137.97304236200256,0.24804878048780488,2.163616792249731,1.9332477535301669,189,11.765151515151516,6.856060606060606,4.674242424242424,0.23484848484848486,1.106060606060606,69.6969696969697,41.44385026737968,22.04724409448819,58.655462184873954,63.25898389095415
GE,206.2900432900433,132.52958152958152,0.26007215007215007,2.1933621933621934,1.8975468975468976,141,11.070921985815604,6.539007092198582,4.319148936170213,0.2127659574468085,1.0354609929078014,59.57446808510638,39.40149625935162,22.72727272727273,57.45393634840871,59.302325581395344
GEN,202.89318600368324,134.2782401902497,0.21986519607843136,2.0570902394106816,1.9301470588235294,219,11.314685314685315,6.7972027972027975,4.370629370629371,0.14685314685314685,1.118881118881119,65.73426573426573,40.78624078624078,21.468926553672315,56.98234349919743,62.19226260257913
GMB,215.63053435114503,137.69923664122138,0.269969465648855,2.267175572519084,1.783206106870229,133,11.661654135338345,7.090225563909774,4.285714285714286,0.2857142857142857,1.0902255639097744,71.42857142857143,43.1578947368421,19.37984496124031,56.81003584229391,64.54601605929585
GUILD,215.0185758513932,140.3622291021672,0.2181733746130031,2.2151702786377707,1.8513931888544892,131,11.222222222222221,6.622222222222222,4.366666666666666,0.23333333333333334,1.1444444444444444,61.111111111111114,41.825095057034225,23.809523809523807,54.9738219895288,61.00917431192661
Ghost,207.500826446281,134.7289256198347,0.2446115702479339,2.1867768595041324,1.9090909090909092,121,10.975206611570249,6.586776859504132,4.264462809917355,0.12396694214876033,1.0,59.50413223140496,38.15028901734104,16.7741935483871,55.283018867924525,60.60815480304077
IMT,212.34349775784753,137.28172043010753,0.24153005464480876,2.1748878923766815,1.873224043715847,225,11.55621301775148,6.822485207100592,4.502958579881657,0.23076923076923078,1.1183431952662721,64.49704142011834,42.91845493562232,17.050691244239633,61.34453781512605,62.09912536443149
LG,209.79760479041917,134.58562874251496,0.27106586826347306,2.1652694610778442,1.9892215568862275,167,11.11875,6.4875,4.39375,0.2375,0.975,60.62499999999999,35.517970401691336,20.5761316872428,55.379746835443036,60.95477386934674
MF,208.8655737704918,134.08852459016393,0.23604918032786887,2.1573770491803277,2.1098360655737705,122,11.081967213114755,6.213114754098361,4.60655737704918,0.26229508196721313,1.0245901639344261,54.91803278688525,39.26553672316385,19.49685534591195,55.208333333333336,57.18050065876154
NRG,217.16073619631902,139.32147239263804,0.24896932515337422,2.192638036809816,1.8588957055214723,163,11.754601226993865,7.141104294478527,4.404907975460123,0.2085889570552147,1.049079754601227,68.71165644171779,39.78260869565217,19.883040935672515,59.94065281899109,64.84727090635954
